CanonicalSMILES,InChIKey,UniProtKB
C1=CC(=O)C(=C2C(=C1)C=C(C(=C2O)O)O)O,WDGFFVCWBZVLCE-UHFFFAOYSA-N,P05181
C#CCO,TVDSBUOJIPERQY-UHFFFAOYSA-N,P05181
C(C(CCl)Cl)O,ZXCYIJGIGSDJQQ-UHFFFAOYSA-N,P05181
C(C(F)(F)F)F,LVGUZGTVOIAKKC-UHFFFAOYSA-N,P05181
C=CCSC1=NC=CN=C1,ZYBMMXTUPCNGBL-UHFFFAOYSA-N,P05181
CCN(C)N=O,RTDCJKARQCRONF-UHFFFAOYSA-N,P05181
C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O,DEMKZLAVQYISIA-ZRWXNEIDSA-N,P05181
CCC(C)C#N,RCEJCSULJQNRQQ-YFKPBYRVSA-N,P05181
C(C(F)(F)F)(F)Cl,BOUGCJDAQLKBQH-UHFFFAOYSA-N,P05181
CC(C)C#N,LRDFRRGEGBBSRN-UHFFFAOYSA-N,P05181
CC(CCCC=CCC=CCC=CCC=CCCCC(=O)O)O,XFUXZHQUWPFWPR-MRYWSNOQSA-N,P05181
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.[Fe],VVMRAHJVSUNRDP-MCDZGGTQSA-N,P05181
C(CBr)O,LDLCZOVUSADOIV-UHFFFAOYSA-N,P05181
C1=C(C=C(C(=C1O)Cl)Cl)Cl,WWGQHTJIFOQAOC-UHFFFAOYSA-N,P05181
C1CCNC(=O)C1,XUWHAWMETYGRKB-UHFFFAOYSA-N,P05181
C=CCC#N,SJNALLRHIVGIBI-UHFFFAOYSA-N,P05181
CC1=CSC(=N1)NC(=O)C(=C2SCS2)C(=O)OC(C)C,WOUUWUGULFOVHG-UHFFFAOYSA-N,P05181
C(CO)N(CCO)N=O,YFCDLVPYFMHRQZ-UHFFFAOYSA-N,P05181
C1=CC=C(C=C1)N2C=CN=C2,SEULWJSKCVACTH-UHFFFAOYSA-N,P05181
CC1(C(=O)NC(=O)O1)C,JYJFNDQBESEHJQ-UHFFFAOYSA-N,P05181
C1=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl,KEWNKZNZRIAIAK-UHFFFAOYSA-N,P05181
COC1=CC2=C(C=C1)C(=CC(=O)O2)C(F)(F)F,HAZHUELNIGDYQH-UHFFFAOYSA-N,P05181
CCOC1=CC2=C(C=C1)C=CC(=O)O2,LIFAQMGORKPVDH-UHFFFAOYSA-N,P05181
C1=C2C(=CC(=C1Cl)O)OC(=O)N2,AGLXDWOTVQZHIQ-UHFFFAOYSA-N,P05181
CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OCOC(=O)OC(C)C.C(=CC(=O)O)C(=O)O,VCMJCVGFSROFHV-WZGZYPNHSA-N,P05181
C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O,OWNRRUFOJXFKCU-UHFFFAOYSA-N,P05181
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,IQFYYKKMVGJFEH-XLPZGREQSA-N,P05181
C=CC1CO1,GXBYFVGCMPJVJX-UHFFFAOYSA-N,P05181
CCl,NEHMKBQYUWJMIP-UHFFFAOYSA-N,P05181
CC(=O)NC(CSC1=CC=CC=C1)C(=O)O,CICOZWHZVMOPJS-JTQLQIEISA-N,P05181
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,JHBKHLUZVFWLAG-UHFFFAOYSA-N,P05181
C1=CC(=C(C=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O)O,IOYHCQBYQJQBSK-UHFFFAOYSA-N,P05181
CN1C=NC2=C1C(=O)NC(=O)N2C,YAPQBXQYLJRXSA-UHFFFAOYSA-N,P05181
CSCC=C,NVLPQIPTCCLBEU-UHFFFAOYSA-N,P05181
C[Hg]C,ATZBPOVXVPIOMR-UHFFFAOYSA-N,P05181
CC(=O)OC1CN(C(=O)C=C1)C(=O)CCC2=CC=CC=C2,JLNNQCUATONMIT-UHFFFAOYSA-N,P05181
